Age,Gender,Tenure,MonthlyCharges,Contract,PaymentMethod,TotalCharges
68,0,6,68.94,0,0,332.44
33,1,36,38.27,0,2,1362.69
68,0,25,90.7,2,2,2232.75
30,1,2,72.88,1,0,85.29
69,0,10,71.46,1,2,661.45
21,1,5,130.43,1,3,596.66
55,0,17,47.08,0,1,763.42
73,1,23,125.7,1,2,2807.89
50,0,56,61.77,1,2,3482.22
19,0,44,25.74,1,2,1158.32
41,1,65,134.35,0,2,8671.88
56,1,23,24.79,1,2,540.24
70,1,26,89.61,0,0,2343.18
33,0,7,137.21,0,3,951.33
28,0,42,79.64,2,2,3338.72
42,1,49,90.58,0,2,4482.96
44,0,21,102.98,2,2,2125.71
25,1,1,113.83,1,2,61.98
52,0,43,51.87,0,1,2168.9
31,0,65,19.39,0,2,1320.15
18,1,68,101.74,0,1,6881.44
76,0,57,115.4,0,2,6550.84
27,0,30,104.68,1,2,3142.16
55,1,20,15.35,1,0,252.77
31,0,71,108.13,2,1,7659.6
18,1,27,22.32,0,2,655.83
56,1,70,77.16,0,3,5399.75
52,1,7,122.74,0,3,950.73
48,0,42,25.42,0,2,1057.6
20,2,22,146.91,1,1,3335.39
73,0,25,146.9,2,3,3746.44
77,0,20,123.22,1,0,2474.9
24,1,65,17.81,0,2,1114.8
55,1,25,82.39,0,0,1996.43
37,0,7,51.13,1,0,373.08
63,0,43,22.99,1,0,901.34
21,1,3,92.82,0,3,193.69
36,2,66,107.24,1,3,7046.21
26,0,43,74.22,0,1,3221.76
73,1,70,73.1,0,3,5022.42
21,1,14,21.03,0,2,255.42
51,1,71,66.05,0,2,4682.4
27,0,19,45.88,1,1,936.28
30,2,21,52.63,1,0,1148.79
64,1,8,111.02,0,2,839.83
25,2,24,84.25,0,2,2055.08
27,1,13,74.65,1,3,1032.77
71,0,17,38.08,0,2,651.99
58,1,47,41.25,0,0,1954.25
50,1,37,101.0,2,0,3690.21
21,0,47,100.63,0,2,4711.95
66,0,63,115.44,0,1,7214.52
20,0,1,45.16,1,3,14.64
64,1,12,71.7,2,1,893.01
60,0,1,38.49,1,3,0.0
30,0,50,75.97,0,2,3847.22
27,1,8,98.5,1,2,745.78
34,0,64,16.63,0,1,1086.32
68,0,39,139.92,0,1,5489.81
68,1,42,41.36,0,3,1750.79
67,0,43,20.04,0,2,932.94
77,1,34,73.03,1,0,2447.66
20,1,9,124.2,0,1,1127.75
50,1,21,25.43,2,0,445.54
40,1,40,45.8,0,3,1817.67
64,1,14,81.95,0,3,1090.13
66,0,34,111.85,2,2,3874.51
37,0,42,122.91,0,2,5184.1
19,1,18,94.0,2,2,1563.51
57,0,72,136.03,2,1,9832.52
73,1,7,84.78,2,0,616.73
46,0,31,107.74,1,2,3383.7
76,1,34,134.88,0,3,4571.28
28,1,12,32.44,2,2,381.15
43,2,44,95.79,0,2,4165.15
57,0,3,22.52,0,1,93.38
77,1,69,116.26,0,1,8031.0
42,0,41,60.34,0,0,2451.5
38,2,48,58.78,0,2,2860.12
76,0,34,59.21,0,0,1975.53
44,0,37,118.06,0,0,4372.83
66,0,65,88.58,0,3,5788.88
70,1,40,39.3,0,0,1484.06
47,1,55,22.99,2,2,1184.4
57,1,54,75.05,2,3,3965.78
28,0,62,115.55,1,2,7165.3
54,1,45,110.63,0,2,5041.57
73,1,8,13.74,0,2,85.1
21,1,38,64.68,2,3,2453.72
37,0,60,42.23,0,2,2608.59
30,1,56,32.56,1,2,1847.19
56,0,7,75.95,2,1,554.51
75,0,36,125.6,1,2,4479.69
69,1,44,57.02,2,0,2548.31
73,0,17,40.17,0,2,636.08
64,1,2,18.88,0,1,26.82
61,0,16,107.59,2,1,1639.58
32,1,22,137.17,0,3,3014.63
62,0,44,98.93,1,3,4349.76
51,0,11,136.72,0,3,1473.57
55,1,60,75.93,1,2,4574.57
68,1,72,109.91,2,2,7856.33
43,0,19,39.79,0,2,828.49
18,0,14,93.35,1,2,1301.84
66,1,63,110.82,2,2,7014.05
56,0,35,53.49,0,1,1875.85
23,0,48,79.83,1,2,3737.81
38,1,6,21.19,1,0,123.81
51,0,34,23.9,0,3,805.31
50,0,27,111.76,2,3,3003.95
38,0,19,95.37,1,3,1820.41
69,1,9,133.12,0,0,1119.55
27,1,55,123.02,0,2,6780.63
34,0,23,49.39,0,3,1152.81
29,0,24,79.62,2,0,1909.14
59,1,3,33.35,0,3,192.5
74,1,3,127.09,0,2,401.76
33,0,55,52.18,1,1,2916.51
62,1,46,12.14,0,1,546.69
47,1,72,57.45,0,2,4196.7
60,0,33,55.44,0,0,1808.63
20,0,7,139.82,1,2,979.4
64,0,9,140.95,1,3,1256.29
28,1,37,38.45,0,3,1467.42
23,1,12,42.15,0,0,508.32
48,2,54,142.52,1,3,7690.73
31,0,36,44.48,0,0,1576.6
38,1,22,38.89,0,3,847.6
35,0,68,25.68,1,2,1818.69
80,0,35,84.53,0,2,3043.87
72,0,60,74.92,0,0,4560.56
35,1,27,19.02,2,2,578.81
66,0,70,119.76,0,3,8340.64
62,1,36,71.73,0,2,2649.1
49,1,21,53.37,0,2,1206.73
29,1,24,108.45,2,2,2600.75
46,0,41,25.26,1,2,1090.62
45,2,67,62.16,0,2,4092.02
57,0,1,76.6,0,2,134.27
71,0,20,96.45,2,2,1974.26
58,0,47,46.58,0,3,2188.85
33,0,51,19.34,0,2,922.08
80,0,65,134.18,1,2,8617.79
44,0,61,141.39,1,2,8669.77
51,0,36,86.21,0,0,3082.71
52,1,8,101.99,2,0,796.05
63,1,56,131.54,0,3,7356.44
36,2,11,105.79,0,2,1125.68
80,0,27,92.92,0,0,2423.58
30,1,60,116.77,0,2,6993.44
24,1,72,117.79,0,1,8496.15
24,0,21,17.67,1,2,364.29
64,1,66,132.08,1,3,8696.1
52,1,40,10.07,1,1,376.82
38,1,66,137.93,1,1,9024.52
72,0,24,134.21,2,1,3213.28
77,2,25,36.63,0,2,851.21
34,0,70,60.73,0,2,4205.01
18,2,60,143.18,2,1,8586.12
53,0,5,70.28,0,2,355.54
69,0,67,29.99,0,2,2060.1
23,1,46,81.81,0,0,3731.08
48,1,55,55.51,1,2,3047.49
36,0,49,122.37,0,2,5951.56
48,1,34,98.79,2,3,3392.6
30,1,34,130.89,2,3,4441.64
70,0,72,123.86,0,3,9031.87
52,0,53,100.92,0,0,5336.24
42,0,47,114.26,0,2,5420.62
25,0,46,61.01,0,1,2816.18
75,0,70,35.67,0,3,2442.73
30,1,23,80.67,0,2,1837.88
53,0,26,69.77,0,0,1804.24
57,0,37,24.77,2,2,960.23
71,1,29,39.47,0,0,1185.5
22,1,47,75.94,0,1,3487.16
74,0,45,131.94,1,3,5868.62
50,2,4,81.06,0,1,338.65
28,1,47,10.0,1,2,444.66
57,1,52,101.52,2,2,5273.57
32,0,6,117.77,1,2,760.15
57,0,24,54.82,0,2,1321.73
38,1,56,63.55,0,2,3508.22
46,0,11,142.13,0,1,1633.88
23,1,9,126.0,0,2,1078.45
59,1,50,109.97,0,2,5517.06
78,0,3,119.95,0,0,386.51
61,0,7,117.72,0,2,867.69
22,0,72,127.37,2,0,9254.22
71,1,46,48.97,1,2,2232.28
76,1,45,129.03,0,2,5821.16
44,0,67,25.41,2,0,1694.84
78,0,25,121.73,1,0,2880.71
70,0,65,91.13,1,3,5946.32
22,0,45,46.71,0,3,2152.46
33,1,54,60.29,0,2,3279.01
62,0,64,59.09,2,2,3794.94
34,1,25,82.12,0,3,2057.02
34,0,40,135.9,1,2,5423.44
25,1,30,98.74,0,1,2863.94
65,1,24,10.16,0,2,261.14
25,1,5,20.87,0,2,146.38
71,1,72,21.72,0,3,1558.66
57,1,52,146.69,2,0,7641.73
54,2,71,71.95,0,2,5144.07
68,0,9,99.82,0,3,800.86
65,1,12,89.51,0,0,1065.85
51,0,4,86.35,0,0,404.97
28,1,46,149.04,0,1,6877.5
46,1,25,147.09,2,3,3651.11
47,0,30,113.9,0,3,3471.74
30,1,5,134.85,1,1,693.59
24,0,3,142.19,0,2,357.91
55,0,39,67.31,0,3,2664.23
39,1,7,87.72,0,2,603.07
60,0,63,50.81,0,1,3289.02
19,0,34,54.04,0,3,1902.26
26,1,36,36.09,0,2,1200.97
47,0,34,80.38,1,1,2782.2
63,0,60,78.94,1,3,4719.46
18,0,72,94.55,0,1,6814.91
42,1,54,142.17,2,3,7665.29
45,1,46,78.84,2,3,3679.99
60,1,64,39.2,0,2,2520.68
66,0,51,50.7,1,2,2521.16
64,1,31,18.61,0,1,621.42
54,0,47,82.42,0,0,3928.91
29,0,63,126.69,1,1,7957.07
70,1,10,49.94,0,2,488.67
21,1,22,143.37,2,3,3167.59
31,1,60,80.87,0,2,4869.88
61,1,32,31.63,0,0,1020.09
23,0,16,20.48,0,0,303.53
22,0,57,130.14,1,2,7428.8
80,1,58,68.02,0,2,4030.97
79,1,44,79.51,0,2,3566.85
48,0,60,125.39,1,3,7526.69
61,0,54,25.89,1,1,1366.14
27,1,47,49.84,0,3,2332.18
35,0,13,74.22,1,2,986.57
56,0,60,133.78,2,0,8040.52
48,1,29,26.54,2,2,772.66
24,0,31,42.18,0,2,1255.28
59,1,41,29.18,0,2,1131.16
53,1,9,139.34,0,3,1234.1
72,1,63,22.47,1,3,1377.47
77,0,28,52.17,1,3,1415.58
69,1,58,56.33,0,2,3339.93
25,1,61,19.3,2,1,1135.72
53,1,25,43.72,0,0,1137.3
65,1,50,119.85,0,2,5937.85
32,2,56,114.76,1,2,6398.43
43,0,19,99.65,1,1,1747.17
31,1,12,74.48,0,3,968.25
20,0,72,138.43,1,0,9969.31
73,1,12,48.18,2,2,455.71
68,0,55,13.77,0,0,774.49
25,1,61,40.02,0,3,2508.87
43,1,6,98.09,0,2,517.04
67,1,21,135.1,1,2,2928.98
61,0,45,72.31,0,1,3280.29
32,1,55,127.74,2,3,7009.22
50,0,17,36.52,0,0,640.31
40,0,72,56.41,1,3,4086.03
39,0,50,84.5,0,0,4236.24
38,1,49,80.15,0,2,3876.15
19,0,51,18.41,2,2,872.55
71,0,4,54.27,0,3,265.56
68,0,45,32.02,0,3,1414.12
46,1,18,103.78,0,1,1792.24
73,1,16,93.65,1,0,1501.14
33,1,72,17.58,1,2,1303.09
23,1,7,85.61,1,2,470.88
33,1,19,119.11,0,2,2312.81
36,1,41,13.4,2,1,558.02
23,2,17,118.37,0,2,1943.76
77,0,17,72.08,0,2,1257.42
50,0,2,120.04,2,2,236.4
52,1,41,52.03,0,3,2124.81
21,1,63,88.72,2,3,5565.25
76,0,35,10.37,0,2,330.21
54,1,27,117.85,2,1,3200.53
61,0,68,42.66,1,2,2848.59
77,0,60,96.96,0,3,5880.21
55,1,17,74.11,1,2,1248.68
21,1,18,108.62,2,1,1929.39
22,1,70,49.1,0,1,3429.34
49,0,33,141.2,2,3,4569.72
49,1,11,43.77,0,3,506.57
25,1,68,127.67,0,1,8641.83
27,1,3,28.48,2,3,142.56
30,1,38,127.76,0,2,4854.18
71,1,15,149.19,0,2,2218.15
72,0,60,128.64,0,0,7692.97
21,1,63,10.35,0,0,609.68
38,1,18,127.22,0,2,2349.33
27,1,42,49.53,0,1,2030.66
67,1,67,26.25,2,2,1800.42
61,1,10,77.87,1,2,766.06
68,0,42,49.59,0,0,2051.02
31,0,54,146.91,1,2,7983.02
71,1,66,33.71,2,3,2235.07
22,0,21,82.68,2,2,1682.68
19,0,21,94.84,2,1,1922.75
28,0,11,110.04,0,0,1212.95
47,0,65,89.12,2,1,5784.46
63,0,56,72.11,1,2,4019.42
78,0,12,82.78,0,1,1037.69
30,0,34,142.48,0,1,4792.1
43,1,48,109.51,1,2,5271.54
78,1,66,13.55,0,0,983.57
62,0,67,102.82,1,0,6873.36
67,1,33,149.11,1,0,4960.61
64,0,5,131.06,0,2,590.1
65,1,53,12.92,2,0,642.02
37,0,36,25.85,2,0,917.65
21,0,9,89.07,1,3,804.7
53,0,58,68.42,0,3,3998.47
38,1,5,133.09,1,3,725.31
42,0,26,18.85,2,1,452.21
63,1,49,120.17,2,2,5931.3
30,1,54,18.33,2,0,1002.03
25,1,63,114.83,0,3,7172.49
31,1,40,124.38,1,2,5008.96
23,0,8,80.77,0,0,685.08
47,0,33,87.77,0,2,2968.45
71,0,29,11.72,0,1,357.84
42,0,21,105.58,2,0,2220.27
71,0,55,129.74,0,0,7113.63
78,0,44,84.32,2,2,3727.65
33,0,58,129.78,1,2,7596.68
51,1,39,70.66,0,2,2814.95
77,0,56,24.63,0,1,1323.55
70,0,36,66.6,1,3,2281.29
25,1,56,94.09,0,3,5288.45
42,0,10,19.49,2,3,164.29
49,1,39,134.95,1,2,5200.05
65,1,3,22.86,0,0,24.88
70,0,8,116.91,0,0,976.04
28,0,45,89.88,0,3,4084.07
21,1,61,11.14,1,2,674.59
57,1,30,102.5,0,2,3175.82
68,0,15,12.18,1,1,221.56
69,0,48,55.84,0,1,2626.51
23,1,19,115.6,0,2,2199.14
67,1,67,46.65,0,0,3165.86
50,0,40,128.84,1,0,5103.42
18,0,15,43.65,1,1,651.53
66,0,55,119.89,1,3,6534.89
66,0,66,92.75,2,0,6092.63
65,0,38,59.14,0,2,2194.16
73,1,8,55.1,0,3,419.8
32,1,56,124.56,0,3,7011.85
44,1,14,21.94,1,2,297.9
57,1,67,132.99,0,3,8805.92
58,0,20,59.42,1,3,1130.64
25,0,13,127.33,2,1,1647.46
69,0,51,120.91,0,2,6200.27
66,1,58,36.4,2,2,2138.38
48,1,27,45.44,0,1,1265.14
59,1,42,59.55,1,2,2586.19
61,0,9,44.64,0,2,374.98
33,0,51,21.46,0,2,1010.55
23,1,30,77.79,2,3,2353.39
35,1,34,146.36,2,3,4960.27
27,0,3,82.32,0,1,134.19
27,0,34,44.43,0,2,1480.28
33,0,67,13.37,2,0,954.28
79,1,20,122.67,0,0,2421.43
70,0,14,146.06,0,3,2045.44
59,0,7,40.41,0,0,307.16
44,0,20,75.24,0,1,1597.34
73,1,31,30.84,2,2,948.24
68,1,43,37.51,0,0,1570.44
28,0,49,75.12,2,3,3607.66
58,0,1,67.56,2,2,0.0
73,1,20,118.53,0,1,2376.42
72,1,10,42.19,1,3,456.38
79,0,71,143.24,1,3,10131.89
42,0,7,77.21,1,1,548.48
51,1,11,57.75,0,2,605.49
23,0,61,76.65,0,3,4664.55
32,0,19,120.0,1,2,2322.94
79,1,19,107.11,0,1,2053.57
78,0,61,42.6,0,1,2645.87
77,0,55,25.91,0,2,1393.26
57,1,42,41.92,0,3,1753.91
67,0,56,109.01,2,1,6072.73
40,1,27,24.14,2,2,611.61
47,0,31,112.85,1,3,3559.92
67,0,63,143.75,2,3,9039.02
64,2,31,70.24,0,2,2190.25
39,1,17,108.18,0,1,1801.92
31,1,68,102.53,2,0,6988.13
26,0,46,89.8,0,1,4092.56
76,2,60,109.23,2,1,6505.72
27,0,60,34.65,2,3,2117.93
69,0,15,41.17,0,3,604.67
28,1,20,60.35,0,2,1183.48
18,1,22,39.49,0,1,851.81
38,1,68,68.51,0,3,4617.78
79,0,41,55.93,0,3,2246.73
40,1,56,131.09,0,2,7284.01
25,0,44,50.96,0,3,2298.39
41,1,20,139.43,0,1,2823.95
52,1,59,141.26,0,2,8298.01
21,1,67,139.28,0,2,9391.45
60,0,22,123.94,0,0,2808.98
33,0,5,121.34,0,3,629.24
42,1,56,119.23,1,0,6794.59
63,0,69,88.68,0,0,6046.57
44,0,24,122.7,0,2,2999.03
55,0,50,12.78,0,3,553.31
73,1,57,13.34,2,2,780.54
55,1,20,137.7,2,2,2764.85
80,1,14,41.41,1,2,486.92
75,1,30,24.88,0,0,638.03
75,0,15,126.83,2,3,1799.03
64,0,31,133.68,1,0,4063.62
37,0,12,133.72,0,0,1527.51
26,1,25,108.04,0,1,2599.04
38,0,68,147.16,0,3,10050.64
46,0,12,38.58,0,1,469.48
46,1,36,54.57,0,2,1929.83
38,1,48,136.37,1,2,6519.87
18,0,51,94.81,0,2,4844.32
77,0,20,17.96,0,1,448.16
45,0,41,107.12,0,3,4384.7
72,1,14,67.07,0,3,929.99
35,1,42,65.41,1,2,2811.46
51,1,1,145.19,2,1,37.69
46,0,49,48.12,0,2,2345.24
73,1,39,125.67,2,2,4909.3
26,0,54,110.14,0,3,5935.57
42,1,33,119.08,0,3,3941.68
34,1,24,133.25,0,3,3213.98
41,1,48,60.51,1,3,2901.05
33,0,25,144.86,0,0,3547.49
57,0,8,136.65,1,3,1116.75
79,0,50,98.4,2,2,4908.56
38,1,33,73.17,0,1,2465.9
22,0,8,101.4,2,0,912.98
60,1,71,96.44,2,3,6852.76
24,0,2,141.65,1,2,200.37
56,0,63,100.48,0,2,6358.56
45,0,56,103.34,2,3,5892.19
62,0,72,99.15,0,2,7091.03
72,0,35,79.14,1,2,2755.5
24,0,20,82.06,1,3,1665.86
52,0,12,36.83,0,1,390.8
21,1,33,72.63,0,3,2433.49
68,0,57,26.38,1,3,1456.9
30,0,42,124.92,1,0,5272.33
60,1,19,18.96,0,1,260.19
42,0,70,121.01,2,2,8422.17
58,0,9,31.17,0,2,221.91
47,0,53,70.96,0,2,3748.73
56,1,71,100.79,0,0,7112.37
77,0,40,69.91,0,1,2764.39
55,0,21,13.11,1,3,284.63
24,0,56,14.9,0,3,890.03
68,0,4,115.33,0,2,454.46
47,1,71,81.73,0,0,5852.87
20,1,30,127.68,0,1,3795.67
71,0,33,37.59,2,1,1289.06
34,1,52,132.29,0,0,6873.79
51,1,54,74.26,2,1,4008.14
80,1,31,118.9,0,2,3751.32
20,1,19,45.29,0,2,881.89
44,1,70,70.88,0,3,4929.73
79,1,30,47.22,2,0,1399.13
46,0,59,85.09,2,2,5063.31
53,1,63,145.47,0,0,9187.51
65,1,45,145.35,2,3,6540.33
37,2,64,98.97,2,3,6365.94
24,1,48,96.86,0,2,4609.2
38,1,46,38.94,0,0,1757.05
78,0,62,89.2,0,0,5467.79
49,0,39,95.07,0,3,3720.7
59,0,50,42.65,0,2,2201.71
41,0,38,101.33,1,0,3951.84
47,0,36,129.94,0,1,4704.94
56,1,5,127.65,0,0,640.95
18,1,52,107.93,1,3,5608.26
73,0,48,117.98,0,2,5619.76
29,0,20,38.25,1,3,734.07
32,1,62,131.98,0,1,8235.38
23,1,7,59.72,0,3,429.01
44,0,47,92.96,0,1,4253.84
72,0,9,134.12,0,3,1249.4
36,0,35,15.58,0,3,535.63
63,0,43,50.59,0,3,2231.01
74,0,35,80.4,0,2,2756.76
35,0,17,142.73,1,0,2413.78
43,1,70,22.82,1,2,1617.0
52,0,8,97.01,1,0,777.7
65,1,4,104.46,1,2,304.79
30,0,14,105.67,1,1,1498.27
36,0,6,22.7,1,1,184.83
33,0,48,148.13,0,2,7078.0
19,1,71,129.6,1,1,9198.61
76,0,17,28.66,1,0,539.58
63,1,44,72.12,1,3,3177.29
44,1,62,112.74,1,0,7004.64
53,0,16,12.23,0,2,249.9
77,1,69,84.35,0,2,5830.18
28,0,11,67.31,0,0,765.49
69,1,53,124.37,2,3,6552.18
38,0,25,95.54,0,2,2402.85
47,1,37,26.82,2,2,1064.84
66,0,58,36.21,2,0,2160.23
22,1,70,127.96,0,3,8991.77
18,0,31,33.47,0,1,939.79
62,0,68,127.29,0,0,8594.19
21,1,30,148.71,1,2,4471.27
69,0,28,57.93,1,1,1616.16
46,1,50,146.44,1,3,7291.62
79,1,14,125.07,0,2,1787.9
74,0,64,86.91,0,2,5507.57
68,2,72,101.62,0,2,7354.73
76,1,24,120.12,0,0,2866.53
59,0,18,24.9,0,2,394.09
45,0,57,27.48,0,1,1494.74
29,0,65,57.13,1,2,3702.7
35,0,51,50.04,1,2,2607.13
24,1,49,129.11,2,3,6345.0
33,0,69,72.99,2,1,5050.33
57,1,44,136.18,1,2,6041.58
36,1,6,47.99,2,2,297.44
59,0,24,16.53,1,0,391.6
74,0,13,15.23,0,3,215.19
80,1,2,102.64,0,2,217.14
72,0,27,45.9,0,3,1258.17
33,1,38,120.52,1,2,4523.83
20,0,34,114.61,2,0,3856.48
27,1,7,106.59,0,2,705.26
70,0,56,138.81,0,3,7711.32
66,1,49,128.43,0,1,6278.02
72,0,21,81.5,0,3,1756.0
64,1,65,139.34,0,3,9087.51
27,0,66,35.89,0,3,2387.15
40,0,7,11.63,0,2,108.23
59,1,3,72.83,1,3,275.22
72,0,20,42.89,2,3,940.12
44,0,36,35.44,0,2,1261.82
80,1,22,60.13,0,2,1338.55
47,2,30,93.86,2,0,2791.77
45,1,35,122.62,2,0,4239.06
76,1,6,135.56,1,1,784.22
55,0,51,149.11,1,1,7585.11
18,0,51,61.7,0,1,3148.82
35,1,10,116.22,0,1,1163.38
63,0,68,37.74,0,0,2588.04
62,0,62,108.62,0,2,6707.72
47,1,45,45.56,1,3,2083.74
73,1,49,107.96,2,2,5276.49
31,1,45,20.25,0,1,932.96
61,1,63,58.86,0,2,3661.88
31,0,23,130.2,1,1,3087.51
58,1,69,66.07,0,2,4603.27
70,1,62,52.82,0,3,3281.12
63,0,46,29.27,0,3,1282.2
32,0,23,63.3,0,2,1521.9
75,0,62,61.38,0,1,3809.65
74,0,16,133.43,0,3,2060.94
71,0,63,128.55,1,2,8045.94
52,1,47,63.53,1,2,3050.44
35,1,7,142.41,1,0,981.72
75,1,43,96.66,0,2,4179.81
33,0,26,70.1,0,3,1914.72
38,0,46,30.06,0,1,1368.76
22,0,50,110.11,1,3,5510.24
61,0,60,72.24,0,2,4366.0
68,1,12,130.92,0,3,1590.98
47,1,49,136.34,0,1,6685.82
72,0,43,104.15,1,3,4523.92
70,1,66,16.1,2,2,1156.9
78,0,68,51.78,1,0,3504.53
74,0,40,31.79,2,2,1344.36
25,0,8,12.72,1,3,67.58
56,0,45,65.87,0,2,2939.74
50,0,63,102.23,0,3,6514.61
31,0,49,79.0,1,3,3829.02
74,1,3,20.52,2,2,16.16
33,0,19,24.57,1,3,396.24
53,1,42,133.56,0,0,5652.06
33,0,9,13.19,0,2,155.38
70,1,25,71.9,0,2,1855.65
39,1,2,81.52,0,0,147.26
28,0,17,138.54,2,2,2316.82
41,0,49,65.55,2,2,3249.79
56,0,29,114.52,0,3,3343.24
76,1,17,59.58,0,0,1055.78
35,1,27,16.04,0,0,444.46
40,2,22,66.96,1,3,1437.13
31,0,44,20.02,1,2,921.57
80,1,15,74.79,0,2,1175.39
22,0,65,61.8,1,2,3982.63
53,0,26,98.48,0,3,2609.45
79,1,72,72.47,2,3,5201.22
75,1,4,60.98,1,1,217.94
46,0,55,130.68,0,1,7162.83
80,1,50,59.24,1,2,2927.0
74,0,59,93.15,0,1,5606.17
56,0,65,27.89,0,2,1809.63
36,0,52,119.95,0,1,6248.91
36,1,13,123.07,0,1,1537.7
36,1,1,19.58,0,2,9.45
79,0,60,79.81,1,3,4738.03
56,2,50,35.64,2,3,1768.21
35,1,54,24.95,0,1,1306.29
42,1,31,31.16,0,0,902.26
78,1,10,64.36,0,0,623.88
54,1,60,98.68,2,2,5990.88
76,1,37,107.09,1,2,4035.51
69,1,9,11.19,2,1,78.2
28,0,49,85.67,0,0,4148.99
43,0,56,59.44,0,1,3329.09
27,0,19,29.37,0,2,526.8
68,1,21,125.64,2,2,2576.74
41,0,21,136.65,0,0,2949.07
65,2,71,141.71,1,0,10052.99
39,1,52,46.31,0,3,2423.55
52,1,38,67.89,0,0,2472.33
33,1,40,69.45,0,2,2791.19
74,1,24,124.1,1,3,3005.71
35,1,26,121.6,1,0,3109.33
44,0,60,70.67,0,3,4318.63
46,1,20,138.57,1,1,2743.3
39,1,10,69.35,2,3,759.18
21,1,39,37.52,0,2,1420.62
71,1,50,141.58,1,3,7135.57
34,0,5,46.52,1,0,298.3
51,1,49,25.21,0,2,1287.06
69,1,24,111.18,0,1,2651.72
60,0,49,139.1,0,3,6943.49
41,1,42,33.59,0,2,1413.15
39,0,34,75.76,0,2,2562.78
69,1,57,149.36,1,2,8495.06
26,0,25,113.68,0,1,2841.22
62,1,35,53.0,0,0,1749.38
65,1,65,106.08,2,0,6921.66
34,0,30,118.94,0,1,3551.4
32,1,45,75.38,0,3,3355.48
63,0,7,65.6,0,2,423.06
46,0,18,108.01,0,0,1932.78
27,1,8,146.09,2,0,1174.15
45,1,25,103.03,2,3,2608.14
27,0,21,146.56,2,3,3008.97
76,2,23,53.45,0,2,1214.33
44,0,40,89.14,0,1,3463.85
78,1,34,97.77,1,2,3346.23
72,0,28,99.55,1,2,2775.75
30,1,71,21.18,1,1,1484.65
33,1,45,139.4,1,3,6332.97
34,0,69,125.44,0,0,8607.5
61,1,3,104.87,2,3,411.04
57,1,41,81.6,1,3,3323.81
35,0,6,118.03,1,1,727.67
57,0,18,73.78,2,2,1386.3
63,1,57,75.94,2,0,4306.0
52,1,55,116.34,0,3,6423.6
38,1,17,119.81,2,2,1950.78
73,1,44,137.12,1,3,5931.45
52,1,14,29.72,0,1,445.88
19,0,63,37.53,0,2,2411.42
54,0,22,93.7,0,0,2005.28
38,1,71,15.75,0,2,1118.93
39,1,56,57.76,0,0,3194.09
19,0,53,115.27,0,1,6109.64
48,1,38,139.27,0,0,5296.82
42,1,32,115.14,1,1,3626.98
37,0,48,20.78,0,3,957.79
19,1,71,115.05,2,0,8127.91
28,1,9,78.18,1,2,680.69
70,1,11,13.11,0,3,199.45
66,1,23,95.58,0,2,2224.33
